date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:30:17	69/69	---MCZ	200	added ('OK')	text/plain	date:Fri,%2022%20Jan%202016%2014:59:58%20GMT	http://lambda.oxygenna.com/robots.txt		(from )
20:30:18	96530/96530	---MCZ	200	added ('OK')	text/html	date:Thu,%2001%20Jan%201970%2000:00:00%20GMT	http://lambda.oxygenna.com/creative/	D:/website/digiXinfo/lambda.oxygenna.com/creative/index.html	(from )
20:30:19	42/42	---MC-	405	error ('Method%20Not%20Allowed')	text/plain	date:Fri,%2022%20Jan%202016%2015:00:00%20GMT	http://lambda.oxygenna.com/creative/xmlrpc.php	D:/website/digiXinfo/lambda.oxygenna.com/creative/xmlrpc.php	(from http://lambda.oxygenna.com/creative/)
20:30:19	1432/1432	---M--	200	added ('OK')	image/png	etag:%225697adf0-598%22	http://lambda.oxygenna.com/creative/wp-content/themes/lambda/assets/images/favicons/apple-touch-icon-precomposed.png	D:/website/digiXinfo/lambda.oxygenna.com/creative/wp-content/themes/lambda/assets/images/favicons/apple-touch-icon-precomposed.png	(from http://lambda.oxygenna.com/creative/)
20:30:19	162/162	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2022%20Jan%202016%2015:00:01%20GMT	http://lambda.oxygenna.com/creative/wp-content/themes/lambda/assets/images/favicons/apple-touch-icon-114x114-precomposed.png	D:/website/digiXinfo/lambda.oxygenna.com/creative/wp-content/themes/lambda/assets/images/favicons/apple-touch-icon-114x114-precomposed.png	(from http://lambda.oxygenna.com/creative/)
20:30:20	162/162	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2022%20Jan%202016%2015:00:01%20GMT	http://lambda.oxygenna.com/creative/wp-content/themes/lambda/assets/images/favicons/apple-touch-icon-72x72-precomposed.png	D:/website/digiXinfo/lambda.oxygenna.com/creative/wp-content/themes/lambda/assets/images/favicons/apple-touch-icon-72x72-precomposed.png	(from http://lambda.oxygenna.com/creative/)
20:30:20	15086/15086	---MCZ	200	added ('OK')	image/x-icon	date:Thu,%2014%20Jan%202016%2014:17:20%20GMT	http://lambda.oxygenna.com/creative/wp-content/themes/lambda/assets/images/favicons/favicon.ico	D:/website/digiXinfo/lambda.oxygenna.com/creative/wp-content/themes/lambda/assets/images/favicons/favicon.ico	(from http://lambda.oxygenna.com/creative/)
20:30:21	118621/118621	---MCZ	200	added ('OK')	text/css	date:Thu,%2014%20Jan%202016%2014:17:20%20GMT	http://lambda.oxygenna.com/creative/wp-content/themes/lambda/assets/css/bootstrap.min.css?ver=4.4.1	D:/website/digiXinfo/lambda.oxygenna.com/creative/wp-content/themes/lambda/assets/css/bootstrap.mina94e.css	(from http://lambda.oxygenna.com/creative/)
20:30:21	43084/43084	---MCZ	200	added ('OK')	application/rss+xml	date:Thu,%2014%20Jan%202016%2014:20:44%20GMT	http://lambda.oxygenna.com/creative/feed/	D:/website/digiXinfo/lambda.oxygenna.com/creative/feed/index.html	(from http://lambda.oxygenna.com/creative/)
20:30:21	20163/20163	---MCZ	200	added ('OK')	text/css	date:Wed,%2016%20Dec%202015%2009:29:29%20GMT	http://lambda.oxygenna.com/creative/wp-includes/js/mediaelement/mediaelementplayer.min.css?ver=2.18.1	D:/website/digiXinfo/lambda.oxygenna.com/creative/wp-includes/js/mediaelement/mediaelementplayer.mineb0c.css	(from http://lambda.oxygenna.com/creative/)
20:30:21	1154/1154	---MCZ	200	added ('OK')	application/rss+xml	date:Fri,%2024%20Oct%202014%2014:16:20%20GMT	http://lambda.oxygenna.com/creative/home/feed/	D:/website/digiXinfo/lambda.oxygenna.com/creative/home/feed/index.html	(from http://lambda.oxygenna.com/creative/)
20:30:21	11496/11496	---MCZ	200	added ('OK')	application/rss+xml	date:Fri,%2024%20Oct%202014%2014:16:20%20GMT	http://lambda.oxygenna.com/creative/comments/feed/	D:/website/digiXinfo/lambda.oxygenna.com/creative/comments/feed/index.html	(from http://lambda.oxygenna.com/creative/)
20:30:22	5279/5279	---MCZ	200	added ('OK')	text/css	date:Wed,%2016%20Dec%202015%2009:29:29%20GMT	http://lambda.oxygenna.com/creative/wp-includes/js/mediaelement/wp-mediaelement.css?ver=4.4.1	D:/website/digiXinfo/lambda.oxygenna.com/creative/wp-includes/js/mediaelement/wp-mediaelementa94e.css	(from http://lambda.oxygenna.com/creative/)
20:30:24	95977/95977	---MCZ	200	added ('OK')	application/x-javascript	date:Wed,%2023%20Sep%202015%2013:01:03%20GMT	http://lambda.oxygenna.com/creative/wp-includes/js/jquery/jquery.js?ver=1.11.3	D:/website/digiXinfo/lambda.oxygenna.com/creative/wp-includes/js/jquery/jqueryc1d8.js	(from http://lambda.oxygenna.com/creative/)
20:30:24	223928/223928	---MCZ	200	added ('OK')	text/css	date:Thu,%2014%20Jan%202016%2014:17:20%20GMT	http://lambda.oxygenna.com/creative/wp-content/themes/lambda/assets/css/theme.min.css?ver=4.4.1	D:/website/digiXinfo/lambda.oxygenna.com/creative/wp-content/themes/lambda/assets/css/theme.mina94e.css	(from http://lambda.oxygenna.com/creative/)
20:30:24	7200/7200	---MCZ	200	added ('OK')	application/x-javascript	date:Tue,%2023%20Jul%202013%2015:28:25%20GMT	http://lambda.oxygenna.com/creative/wp-includes/js/jquery/jquery-migrate.min.js?ver=1.2.1	D:/website/digiXinfo/lambda.oxygenna.com/creative/wp-includes/js/jquery/jquery-migrate.min1576.js	(from http://lambda.oxygenna.com/creative/)
20:30:24	19932/19932	---MCZ	200	added ('OK')	application/x-javascript	date:Mon,%2029%20Sep%202014%2007:43:08%20GMT	http://lambda.oxygenna.com/creative/wp-content/plugins/wp-charts/js/Chart.min.js?ver=4.4.1	D:/website/digiXinfo/lambda.oxygenna.com/creative/wp-content/plugins/wp-charts/js/Chart.mina94e.js	(from http://lambda.oxygenna.com/creative/)
20:30:25	902/902	---MC-	200	added ('OK')	text/xml	date:Fri,%2022%20Jan%202016%2015:00:06%20GMT	http://lambda.oxygenna.com/creative/xmlrpc.php?rsd	D:/website/digiXinfo/lambda.oxygenna.com/creative/xmlrpc0db0.php	(from http://lambda.oxygenna.com/creative/)
20:30:25	1037/1037	---MCZ	200	added ('OK')	application/json	date:Fri,%2022%20Jan%202016%2015:00:06%20GMT	http://lambda.oxygenna.com/creative/wp-json/	D:/website/digiXinfo/lambda.oxygenna.com/creative/wp-json/index.html	(from http://lambda.oxygenna.com/creative/)
20:30:25	1045/1045	---M--	200	added ('OK')	text/xml	etag:%2252a8c1b7-415%22	http://lambda.oxygenna.com/creative/wp-includes/wlwmanifest.xml	D:/website/digiXinfo/lambda.oxygenna.com/creative/wp-includes/wlwmanifest.xml	(from http://lambda.oxygenna.com/creative/)
20:30:26	64774/64774	---M--	200	added ('OK')	text/css	etag:%2254b640be-fd06%22	http://d169hzb81ub7u3.cloudfront.net/creative/wp-content/uploads/sites/8/lambda/stack-200.css	D:/website/digiXinfo/d169hzb81ub7u3.cloudfront.net/creative/wp-content/uploads/sites/8/lambda/stack-200.css	(from http://lambda.oxygenna.com/creative/)
20:30:28	3501/3501	---M--	200	added ('OK')	image/png	etag:%225697adf0-dad%22	http://lambda.oxygenna.com/creative/wp-content/themes/lambda/assets/images/lamda.png	D:/website/digiXinfo/lambda.oxygenna.com/creative/wp-content/themes/lambda/assets/images/lamda.png	(from http://lambda.oxygenna.com/creative/)
20:30:28	34720/34720	---MCZ	404	error ('Not%20Found')	text/html	date:Fri,%2022%20Jan%202016%2015:00:09%20GMT	http://lambda.oxygenna.com/creative/this-page-isnt-here	D:/website/digiXinfo/lambda.oxygenna.com/creative/this-page-isnt-here	(from http://lambda.oxygenna.com/creative/)
20:30:28	68590/68590	---MCZ	200	added ('OK')	text/html	date:Thu,%2001%20Jan%201970%2000:00:00%20GMT	http://lambda.oxygenna.com/creative/services/	D:/website/digiXinfo/lambda.oxygenna.com/creative/services/index.html	(from http://lambda.oxygenna.com/creative/)
20:30:29	48776/48776	---MCZ	200	added ('OK')	text/html	date:Thu,%2001%20Jan%201970%2000:00:00%20GMT	http://lambda.oxygenna.com/creative/our-services/made-for-the-web/	D:/website/digiXinfo/lambda.oxygenna.com/creative/our-services/made-for-the-web/index.html	(from http://lambda.oxygenna.com/creative/)
20:30:29	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Fri,%2022%20Jan%202016%2015:00:10%20GMT	http://lambda.oxygenna.com/creative/'http://lambda.oxygenna.com/creative/wp-content/uploads/sites/8/2014/10/services-bg.jpg'	D:/website/digiXinfo/lambda.oxygenna.com/creative/'http_/lambda.oxygenna.com/creative/wp-content/uploads/sites/8/2014/10/services-bg.11.delayed	(from http://lambda.oxygenna.com/creative/)
20:30:30	92893/92893	---MCZ	200	added ('OK')	text/html	date:Thu,%2001%20Jan%201970%2000:00:00%20GMT	http://lambda.oxygenna.com/creative/about-us/	D:/website/digiXinfo/lambda.oxygenna.com/creative/about-us/index.html	(from http://lambda.oxygenna.com/creative/)
20:30:30	162/162	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2022%20Jan%202016%2015:00:11%20GMT	http://lambda.oxygenna.com/creative/http:/lambda.oxygenna.com/creative/wp-content/uploads/sites/8/2014/10/services-bg.jpg	D:/website/digiXinfo/lambda.oxygenna.com/creative/http_/lambda.oxygenna.com/creative/wp-content/uploads/sites/8/2014/10/services-bg.12.delayed	(from http://lambda.oxygenna.com/creative/)
20:30:30	49653/49653	---MCZ	200	added ('OK')	text/html	date:Thu,%2001%20Jan%201970%2000:00:00%20GMT	http://lambda.oxygenna.com/creative/right-sidebar/	D:/website/digiXinfo/lambda.oxygenna.com/creative/right-sidebar/index.html	(from http://lambda.oxygenna.com/creative/)
20:30:30	49671/49671	---MCZ	200	added ('OK')	text/html	date:Thu,%2001%20Jan%201970%2000:00:00%20GMT	http://lambda.oxygenna.com/creative/left-sidebar/	D:/website/digiXinfo/lambda.oxygenna.com/creative/left-sidebar/index.html	(from http://lambda.oxygenna.com/creative/)
20:30:30	47764/47764	---MCZ	200	added ('OK')	text/html	date:Thu,%2001%20Jan%201970%2000:00:00%20GMT	http://lambda.oxygenna.com/creative/elements/	D:/website/digiXinfo/lambda.oxygenna.com/creative/elements/index.html	(from http://lambda.oxygenna.com/creative/)
20:30:31	36151/36151	---MCZ	200	added ('OK')	text/html	date:Thu,%2001%20Jan%201970%2000:00:00%20GMT	http://lambda.oxygenna.com/creative/element-headers/	D:/website/digiXinfo/lambda.oxygenna.com/creative/element-headers/index.html	(from http://lambda.oxygenna.com/creative/)
20:30:31	47957/47957	---MCZ	200	added ('OK')	text/html	date:Thu,%2001%20Jan%201970%2000:00:00%20GMT	http://lambda.oxygenna.com/creative/elements-blockquotes/	D:/website/digiXinfo/lambda.oxygenna.com/creative/elements-blockquotes/index.html	(from http://lambda.oxygenna.com/creative/)
20:30:32	62862/62862	---MCZ	200	added ('OK')	text/html	date:Thu,%2001%20Jan%201970%2000:00:00%20GMT	http://lambda.oxygenna.com/creative/elements-font-icons/	D:/website/digiXinfo/lambda.oxygenna.com/creative/elements-font-icons/index.html	(from http://lambda.oxygenna.com/creative/)
20:30:32	49319/49319	---MCZ	200	added ('OK')	text/html	date:Thu,%2001%20Jan%201970%2000:00:00%20GMT	http://lambda.oxygenna.com/creative/elements-columns/	D:/website/digiXinfo/lambda.oxygenna.com/creative/elements-columns/index.html	(from http://lambda.oxygenna.com/creative/)
20:30:32	7157/7157	---M--	200	added ('OK')	image/png	etag:%22544a14b2-1bf5%22	http://d169hzb81ub7u3.cloudfront.net/creative/wp-content/uploads/sites/8/2014/10/web-512-white.png	D:/website/digiXinfo/d169hzb81ub7u3.cloudfront.net/creative/wp-content/uploads/sites/8/2014/10/web-512-white.png	(from http://lambda.oxygenna.com/creative/)
20:30:32	6962/6962	---M--	200	added ('OK')	image/png	etag:%22544a14af-1b32%22	http://d169hzb81ub7u3.cloudfront.net/creative/wp-content/uploads/sites/8/2014/10/retina-512-white.png	D:/website/digiXinfo/d169hzb81ub7u3.cloudfront.net/creative/wp-content/uploads/sites/8/2014/10/retina-512-white.png	(from http://lambda.oxygenna.com/creative/)
20:30:33	75467/75467	---MCZ	200	added ('OK')	text/html	date:Thu,%2001%20Jan%201970%2000:00:00%20GMT	http://lambda.oxygenna.com/creative/elements-accordion/	D:/website/digiXinfo/lambda.oxygenna.com/creative/elements-accordion/index.html	(from http://lambda.oxygenna.com/creative/)
20:30:33	7217/7217	---M--	200	added ('OK')	image/png	etag:%22544a14b5-1c31%22	http://d169hzb81ub7u3.cloudfront.net/creative/wp-content/uploads/sites/8/2014/10/admin-512-white.png	D:/website/digiXinfo/d169hzb81ub7u3.cloudfront.net/creative/wp-content/uploads/sites/8/2014/10/admin-512-white.png	(from http://lambda.oxygenna.com/creative/)
20:30:34	38683/38683	---MCZ	200	added ('OK')	text/html	date:Thu,%2001%20Jan%201970%2000:00:00%20GMT	http://lambda.oxygenna.com/creative/elements-tabs/	D:/website/digiXinfo/lambda.oxygenna.com/creative/elements-tabs/index.html	(from http://lambda.oxygenna.com/creative/)
20:30:34	65846/65846	---MCZ	200	added ('OK')	text/html	date:Thu,%2001%20Jan%201970%2000:00:00%20GMT	http://lambda.oxygenna.com/creative/elements-buttons/	D:/website/digiXinfo/lambda.oxygenna.com/creative/elements-buttons/index.html	(from http://lambda.oxygenna.com/creative/)
20:30:35	42280/42280	---MCZ	200	added ('OK')	text/html	date:Thu,%2001%20Jan%201970%2000:00:00%20GMT	http://lambda.oxygenna.com/creative/elements-panels/	D:/website/digiXinfo/lambda.oxygenna.com/creative/elements-panels/index.html	(from http://lambda.oxygenna.com/creative/)
20:30:36	38083/38083	---MCZ	200	added ('OK')	text/html	date:Thu,%2001%20Jan%201970%2000:00:00%20GMT	http://lambda.oxygenna.com/creative/elements-tables/	D:/website/digiXinfo/lambda.oxygenna.com/creative/elements-tables/index.html	(from http://lambda.oxygenna.com/creative/)
